id,word_freq,match,average_length,cluster_name
1264,"[('pep', 1), ('peps', 1)]","['pep', 'peps']",1.0,pep
1265,"[('startime', 1), ('startimes', 1)]","['startime', 'startimes']",1.0,startime
1266,"[('nestar', 1), ('anestar', 1)]","['nestar', 'anestar']",1.0,nestar
1267,"[('fuga', 17), ('vit', 3), ('equipments', 2), ('funga', 2), ('', 2), ('vet', 1), ('uga', 1), ('equipment', 1), ('equipmenr', 1), ('lisha', 1), ('feeds', 1), ('ltd', 1), ('sure', 1), ('viti', 1), ('vit.', 1), ('vita', 1), ('vits', 1), ('eqyipments', 1)]","['fuga', 'funga', 'fuga-', 'uga', 'fug']",2.0,fuga vit
1268,"[('ranee', 1)]",['ranee'],1.0,ranee
1269,"[('microsta', 4), ('microstar', 2), ('intl', 1), ('int.', 1), ('microstat', 1), ('int', 1), ('international', 1)]","['microstar', 'microsta', 'microstat']",2.0,microsta microstar
1270,"[('clutch', 1)]",['clutch'],1.0,clutch
1271,"[('dakhresa', 1), ('grain', 1), ('milling', 1)]",['dakhresa grain'],3.0,dakhresa grain milling
1272,"[('paints', 1), ('pints', 1)]","['paints', 'pints']",1.0,paints
1273,"[('beta', 12), ('betra', 4), ('ltd', 2), ('lick', 2), ('farmers', 1), ('vlick', 1), ('mix', 1), ('v', 1), ('products', 1), ('farm', 1), ('bta', 1), ('kenya', 1), ('turkey', 1), ('phos', 1), ('booster', 1), ('kimya', 1), ('healthcare', 1)]","['beta', 'betra', 'bta', 'bea']",2.0,beta betra
1274,"[('alp', 1)]","['alp', 'alps', 'alpa']",1.0,alp
1275,"[('inobivax', 1), ('ltd', 1)]","['inobivax', 'inovax']",2.0,inobivax ltd
1276,"[('jiko', 2), ('jik', 1), ('industries', 1)]","['jik', 'jiko']",1.0,jiko
1277,"[('aether', 3), ('center', 1), ('centre', 1)]",['aether'],2.0,aether center
1278,"[('univether', 1)]",['univether'],1.0,univether
1279,"[('baler', 1), ('twines', 1)]",['baler'],2.0,baler twines
1280,"[('fay', 1), ('foil', 1)]",['fay'],2.0,fay foil
1281,"[('prometin', 1)]",['prometin'],1.0,prometin
1282,"[('denfri', 2), ('investment', 1)]",['denfri'],2.0,denfri investment
1283,"[('smith', 1), ('kline', 1)]",['smith'],2.0,smith kline
1284,"[('silverland', 2), ('tz', 1), ('silverlands', 1)]","['silverland', 'silverlands']",1.0,silverland
1285,"[('denmark', 2), ('technology', 1)]",['denmark'],2.0,denmark technology
1286,"[('local', 1), ('nairobi', 1)]",['local/nairobi'],1.0,local
1287,"[('yiliali', 1), ('cosmetics', 1)]",['yiliali'],2.0,yiliali cosmetics
1288,"[('elanco', 1)]",['elanco'],1.0,elanco
1289,"[('abucas', 1)]",['abucas'],1.0,abucas
1290,"[('em', 5), ('manufacter', 1), ('technologies', 1), ('technology', 1), ('tech', 1)]",['em'],2.0,em manufacter
1291,"[('etg', 6), ('falcon', 2), ('ltd', 1), ('industry', 1), ('', 1), ('uganda', 1)]","['etg', 'etg-']",2.0,etg falcon
1292,"[('pop', 1), ('holland', 1)]",['pop'],2.0,pop holland
1293,"[('m.', 1), ('jackson', 1)]",['m.'],2.0,m. jackson
1294,"[('gold', 6), ('seed', 1), ('old', 1), ('airport', 1), ('gld', 1), ('lion', 1), ('crocodile', 1), ('sabaru', 1), ('wit', 1)]","['gold', 'old', 'gld']",2.0,gold seed
1295,"[('bookola', 1)]",['bookola'],1.0,bookola
1296,"[('sm', 1)]",['sm'],1.0,sm
1297,"[('botachem', 9), ('ltd', 2), ('botachem..', 1), ('botachem.', 1), ('lt', 1), ('industries', 1), ('ltd.', 1), ('chemicals', 1), ('ent', 1), ('limited', 1)]","['botachem..', 'botachem.', 'botachem']",2.0,botachem ltd
1298,"[('sap', 1), ('soap', 1)]","['sap', 'soap']",1.0,sap
1299,"[('fedechem', 1), ('edenchem', 1)]","['fedechem', 'edenchem']",1.0,fedechem
1300,"[('jack', 1), ('jak', 1), ('jacky', 1), ('enteprise', 1), ('jacks', 1)]","['jack', 'jacky', 'jacks', 'jak']",1.0,jack
1301,"[('starke', 8), ('ayres', 2), ('ayires', 1), ('aryres', 1), ('ayress', 1), ('aryes', 1), ('ayre', 1), ('starkyes', 1), ('starkye', 1), ('stake', 1), ('ayrs', 1)]","['starke', 'starkye', 'stark', 'stake', 'starkyes']",2.0,starke ayres
1302,"[('noobrok', 1), ('noorbrok', 1), ('nobrook', 1), ('norbrok', 1), ('norobrook', 1), ('noorbrook', 1)]","['noobrok', 'noorbrok', 'norobrook', 'noorbrook', 'norbrok', 'nobrook']",1.0,noobrok
1303,"[('jain', 1), ('jin', 1), ('li', 1)]","['jain', 'jin']",2.0,jain jin
1304,"[('sunny', 2), ('girl', 1)]",['sunny'],2.0,sunny girl
1305,"[('prime', 4), ('seed', 4), ('primeseed', 2), ('co', 2), ('company', 2), ('co.ltd', 1)]","['primeseed', 'prime seed']",2.0,prime seed
